zipcode,borough,incident_response_seconds_qy,incident_response_min_qy
10000,MANHATTAN,709.0,11.82
10001,MANHATTAN,462.53064699205447,7.71
10002,MANHATTAN,423.89697950377564,7.06
10003,MANHATTAN,395.0403645833333,6.58
10004,MANHATTAN,433.996632996633,7.23
10005,MANHATTAN,389.9793103448276,6.5
10006,MANHATTAN,443.2061855670103,7.39
10007,MANHATTAN,371.32488479262673,6.19
10009,MANHATTAN,422.0606276747504,7.03
10010,MANHATTAN,381.86292428198436,6.36
10011,MANHATTAN,412.85023696682464,6.88
10012,MANHATTAN,463.26813880126184,7.72
10013,MANHATTAN,448.09969788519635,7.47
10014,MANHATTAN,442.66402116402116,7.38
10016,MANHATTAN,405.2391304347826,6.75
10017,MANHATTAN,427.06037321624586,7.12
10018,MANHATTAN,484.5139043381535,8.08
10019,MANHATTAN,433.8431654676259,7.23
10020,MANHATTAN,493.1509433962264,8.22
10021,MANHATTAN,328.54391371340523,5.48
10022,MANHATTAN,456.6887417218543,7.61
10023,MANHATTAN,447.4505347593583,7.46
10024,MANHATTAN,406.0153172866521,6.77
10025,MANHATTAN,409.0754272245139,6.82
10026,MANHATTAN,430.54134366925064,7.18
10027,MANHATTAN,428.7986834887548,7.15
10028,MANHATTAN,360.15532286212914,6.0
10029,MANHATTAN,440.0669536107126,7.33
10030,MANHATTAN,417.2108108108108,6.95
10031,MANHATTAN,429.95711835334475,7.17
10032,MANHATTAN,353.0904425914047,5.88
10033,MANHATTAN,400.18888888888887,6.67
10034,MANHATTAN,436.19679300291546,7.27
10035,MANHATTAN,499.89198743126474,8.33
10036,MANHATTAN,469.48918353105375,7.82
10037,MANHATTAN,390.6778398510242,6.51
10038,MANHATTAN,380.37735849056605,6.34
10039,MANHATTAN,479.1829268292683,7.99
10040,MANHATTAN,458.75969962453064,7.65
10041,MANHATTAN,358.4782608695652,5.97
10044,MANHATTAN,611.1666666666666,10.19
10048,MANHATTAN,293.25,4.89
10065,MANHATTAN,398.11178247734136,6.64
10069,MANHATTAN,446.42424242424244,7.44
10075,MANHATTAN,337.1515151515151,5.62
10103,MANHATTAN,649.0,10.82
10107,MANHATTAN,544.5,9.07
10111,MANHATTAN,404.3333333333333,6.74
10112,MANHATTAN,480.8,8.01
10119,MANHATTAN,430.6666666666667,7.18
10123,MANHATTAN,601.3333333333334,10.02
10128,MANHATTAN,440.54545454545456,7.34
10129,MANHATTAN,278.0,4.63
10153,MANHATTAN,811.2857142857143,13.52
10154,MANHATTAN,554.5714285714286,9.24
10162,MANHATTAN,351.14285714285717,5.85
10280,MANHATTAN,465.46666666666664,7.76
10281,MANHATTAN,474.175,7.9
10282,MANHATTAN,445.15714285714284,7.42
10301,MANHATTAN,347.0,5.78
10301,RICHMOND / STATEN ISLAND,397.5772646536412,6.63
10302,RICHMOND / STATEN ISLAND,416.4168865435356,6.94
10303,RICHMOND / STATEN ISLAND,473.4550264550264,7.89
10304,RICHMOND / STATEN ISLAND,426.1788154897494,7.1
10305,RICHMOND / STATEN ISLAND,390.09708737864077,6.5
10306,RICHMOND / STATEN ISLAND,413.95905834186283,6.9
10307,RICHMOND / STATEN ISLAND,512.6666666666666,8.54
10308,RICHMOND / STATEN ISLAND,425.1656050955414,7.09
10309,RICHMOND / STATEN ISLAND,427.65354330708664,7.13
