id,request,Candidate:id,Candidate,Candidate_id,Election_Status,Status_of_Candidate_id,Status_of_Candidate,Specific_Party:id,Specific_Party,General_Party:id,General_Party,Election_Jurisdiction,Office_Sought:id,Incumbency_Status,#_of_Records,Total_$,real_state,percent
6,dt=1&y=2018&c-exi=1&c-t-id=223821,223821,"CUOMO, ANDREW M",6466806,Won-Primary,1,Won,33,DEMOCRATIC,1,Democratic,NY,10483,Incumbent,383,35720752.63,4514516.63,12.63835809
1506,dt=1&y=2018&c-exi=1&c-t-id=256568,256568,"SCOTT, PHIL",45364661,Pending-General,4,Pending,139,REPUBLICAN,2,Republican,VT,9227,Incumbent,,296906,31150,10.49153604
104,dt=1&y=2018&c-exi=1&c-t-id=223839,223839,"IVEY, KAY ELLEN",6583997,Pending-General,4,Pending,139,REPUBLICAN,2,Republican,AL,9185,Incumbent,1271,4540486.66,458500,10.0980365
1260,dt=1&y=2018&c-exi=1&c-t-id=230338,230338,"SUNUNU, CHRISTOPHER (CHRIS)",13010188,Pending-General,4,Pending,139,REPUBLICAN,2,Republican,NH,9292,Incumbent,333,407170,41100,10.0940639
263,dt=1&y=2018&c-exi=1&c-t-id=224038,224038,"HANABUSA, COLLEEN",44000964,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,HI,12579,Challenger,1721,2142622.95,179145,8.361013775
158,dt=1&y=2018&c-exi=1&c-t-id=224413,224413,"DUCEY, DOUGLAS A",6690747,Won-Primary,1,Won,139,REPUBLICAN,2,Republican,AZ,9203,Incumbent,2428,3303686.04,254113.7,7.691823524
12418,dt=1&y=2018&c-exi=1&c-t-id=256279,256279,"TREADWELL, LOUIS MEAD (MEAD)",193251,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,AK,12577,Open,37,-7225,-500,6.920415225
43,dt=1&y=2018&c-exi=1&c-t-id=223742,223742,"VILLARAIGOSA, ANTONIO",6451725,Lost-Top Two Primary,2,Lost,33,DEMOCRATIC,1,Democratic,CA,9169,Open,2927,9581687.79,648249,6.765499088
533,dt=1&y=2018&c-exi=1&c-t-id=223838,223838,"HIGHTOWER, BILL",44000808,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,AL,9185,Challenger,630,1170752.66,73000,6.235305073
5979,dt=1&y=2018&c-exi=1&c-t-id=224318,224318,"FREDETTE, KENNETH WADE",6628906,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,ME,9284,Open,83,27642,1500,5.426524853
207,dt=1&y=2018&c-exi=1&c-t-id=224346,224346,"SISOLAK, STEVE",44001234,Pending-General,4,Pending,33,DEMOCRATIC,1,Democratic,NV,9293,Open,622,2580996.95,128413.68,4.975351869
30,dt=1&y=2018&c-exi=1&c-t-id=223743,223743,"CHIANG, JOHN",433187,Lost-Top Two Primary,2,Lost,33,DEMOCRATIC,1,Democratic,CA,9169,Open,11363,13570341.83,638841.09,4.707627103
549,dt=1&y=2018&c-exi=1&c-t-id=241189,241189,"MOLINARO, MARCUS (MARC)",44858188,Pending-General,4,Pending,139,REPUBLICAN,2,Republican,NY,10483,Open,1393,1138575.23,52900,4.646157637
90,dt=1&y=2018&c-exi=1&c-t-id=224214,224214,"BUEHLER, KNUTE",28760298,Won-Primary,1,Won,139,REPUBLICAN,2,Republican,OR,9211,Open,7367,5537744.72,248789.52,4.492614459
3647,dt=1&y=2018&c-exi=1&c-t-id=223808,223808,"WHITE, ROBERT WILLIAM",44000561,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,FL,9420,Open,332,70675.18,3100,4.386264032
251,dt=1&y=2018&c-exi=1&c-t-id=224036,224036,"IGE, DAVID",6401125,Pending-General,4,Pending,33,DEMOCRATIC,1,Democratic,HI,12579,Incumbent,2160,2201837.17,96400,4.378162078
424,dt=1&y=2018&c-exi=1&c-t-id=223767,223767,"ALLEN, TRAVIS",44000529,Lost-Top Two Primary,2,Lost,139,REPUBLICAN,2,Republican,CA,9169,Open,6216,1441595.82,58759.76,4.076021808
2554,dt=1&y=2018&c-exi=1&c-t-id=224140,224140,"JONES, GARY A",44001048,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,OK,9256,Open,280,126930.48,4950,3.899772537
1122,dt=1&y=2018&c-exi=1&c-t-id=224522,224522,"MCGILL, JOHN (YANCEY)",6388511,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,SC,9132,Challenger,512,492480.56,18535,3.763600334
4,dt=1&y=2018&c-exi=1&c-t-id=223744,223744,"NEWSOM, GAVIN",312332,Pending-General,4,Pending,33,DEMOCRATIC,1,Democratic,CA,9169,Open,35624,41580247.55,1534491,3.690432574
2695,dt=1&y=2018&c-exi=1&c-t-id=224175,224175,"MARCHAND, STEVE",9734287,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,NH,9292,Open,1159,115732.42,4237,3.661031196
44,dt=1&y=2018&c-exi=1&c-t-id=223805,223805,"PUTNAM, ADAM H",12998792,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,FL,9420,Open,23343,9489316.28,331449.75,3.492872829
13,dt=1&y=2018&c-exi=1&c-t-id=224207,224207,"WALKER, SCOTT K",4656950,Won-Primary,1,Won,139,REPUBLICAN,2,Republican,WI,12584,Incumbent,142361,22883549.08,785078.14,3.430753408
946,dt=1&y=2018&c-exi=1&c-t-id=224187,224187,"FLYNN, MATT",15164802,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,WI,12584,Open,1265,628880.9,21525,3.42274666
8282,dt=1&y=2018&c-exi=1&c-t-id=264042,264042,"CHADBOURNE, AARON D",45602106,Pending-General,4,Pending,177,WRITEIN,3,Third-Party,ME,9284,Open,86,11270,375,3.327417924
3,dt=1&y=2018&c-exi=1&c-t-id=224562,224562,"ABBOTT, GREG",11281947,Pending-General,4,Pending,139,REPUBLICAN,2,Republican,TX,9249,Incumbent,130553,65780993.53,2126470.64,3.232652056
108,dt=1&y=2018&c-exi=1&c-t-id=224356,224356,"RAIMONDO, GINA M",6509536,Pending-General,4,Pending,33,DEMOCRATIC,1,Democratic,RI,9327,Incumbent,9057,4407522.64,140821.43,3.195024541
154,dt=1&y=2018&c-exi=1&c-t-id=224138,224138,"CORNETT, MICK",44001046,Lost-Primary Runoff,2,Lost,139,REPUBLICAN,2,Republican,OK,9256,Open,3767,3376860.57,106182,3.144399889
12,dt=1&y=2018&c-exi=1&c-t-id=224259,224259,"WOLF, THOMAS W (TOM)",5023799,Won-Primary,1,Won,33,DEMOCRATIC,1,Democratic,PA,9262,Incumbent,15746,23102691.03,708042.66,3.064762711
35,dt=1&y=2018&c-exi=1&c-t-id=223759,223759,"COX, JOHN H",44000521,Pending-General,4,Pending,139,REPUBLICAN,2,Republican,CA,9169,Open,11090,11956840.23,347724,2.908159625
136,dt=1&y=2018&c-exi=1&c-t-id=224524,224524,"TEMPLETON, CATHERINE BRAWLEY",41608045,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,SC,9132,Challenger,4361,3712922.69,107144.89,2.885729086
119,dt=1&y=2018&c-exi=1&c-t-id=230357,230357,"LAXALT, ADAM",23597412,Pending-General,4,Pending,139,REPUBLICAN,2,Republican,NV,9293,Open,2802,4149469.19,115000,2.771438821
142,dt=1&y=2018&c-exi=1&c-t-id=224392,224392,"HUTCHINSON, ASA",3938800,Pending-General,4,Pending,139,REPUBLICAN,2,Republican,AR,9192,Incumbent,2950,3627007.84,94950,2.617860346
5025,dt=1&y=2018&c-exi=1&c-t-id=224039,224039,"CARROLL, JOHN",44000965,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,HI,12579,Open,71,39948.92,1000,2.503196582
567,dt=1&y=2018&c-exi=1&c-t-id=224223,224223,"LABRADOR, RAUL",44001115,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,ID,9168,Open,2089,1107958.83,27350,2.468503275
128,dt=1&y=2018&c-exi=1&c-t-id=251449,251449,"CALLEY, BRIAN NELSON",134675,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,MI,9149,Open,4285,3886006.59,93950,2.417649014
818,dt=1&y=2018&c-exi=1&c-t-id=223833,223833,"COBB, SUE BELL",14086840,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,AL,9185,Open,1077,770210.66,18500,2.401940269
86,dt=1&y=2018&c-exi=1&c-t-id=224523,224523,"MCMASTER, HENRY D",6602459,Won-Primary Runoff,1,Won,139,REPUBLICAN,2,Republican,SC,9132,Incumbent,5067,5667557.86,133965,2.363716495
162,dt=1&y=2018&c-exi=1&c-t-id=223902,223902,"HILL, HUNTER BRADLEY",44000841,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,GA,9128,Open,2633,3234750.54,73850,2.283019945
209,dt=1&y=2018&c-exi=1&c-t-id=223831,223831,"BATTLE, TOMMY",7124514,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,AL,9185,Challenger,2006,2551766.08,55450,2.173004823
36,dt=1&y=2018&c-exi=1&c-t-id=223900,223900,"CAGLE, L S (CASEY)",6573097,Lost-Primary Runoff,2,Lost,139,REPUBLICAN,2,Republican,GA,9128,Open,6492,11857921.35,246323.51,2.077290806
876,dt=1&y=2018&c-exi=1&c-t-id=262292,262292,"GANIM, JOSEPH",45399926,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,CT,9141,Open,1088,700597.22,14200,2.026842185
1494,dt=1&y=2018&c-exi=1&c-t-id=224040,224040,"TUPOLA, ANDRIA",44000966,Pending-General,4,Pending,139,REPUBLICAN,2,Republican,HI,12579,Challenger,461,300706.08,6000,1.995303853
523,dt=1&y=2018&c-exi=1&c-t-id=224262,224262,"ELLSWORTH, LAURA",44001146,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,PA,9262,Open,650,1191061.46,23000,1.931050645
1208,dt=1&y=2018&c-exi=1&c-t-id=224323,224323,"MAYHEW, MARY C",9955453,Lost-Primary,2,Lost,139,REPUBLICAN,2,Republican,ME,9284,Open,1087,435307.92,7900,1.814807321
572,dt=1&y=2018&c-exi=1&c-t-id=224313,224313,"COTE, ADAM ROLAND",44001222,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,ME,9284,Open,3304,1097560.27,19750,1.799445601
1462,dt=1&y=2018&c-exi=1&c-t-id=264033,264033,"DUNLEAVY, MICHAEL J (MIKE)",9399128,Pending-General,4,Pending,139,REPUBLICAN,2,Republican,AK,12577,Challenger,1455,311330.05,5600,1.798734173
1180,dt=1&y=2018&c-exi=1&c-t-id=224411,224411,"FARLEY, STEVE",44001336,Lost-Primary,2,Lost,33,DEMOCRATIC,1,Democratic,AZ,9203,Open,3691,453701.35,7575,1.669600498
